id,input,output
287.0,"Fukata  M,  Arditi  M.  The  role  of  pattern  recognition receptors  in  intestinal  inflammation.  Mucosal  Immunol. 2013; 6:451–463.","[{'entity1': 'pattern recognition receptors', 'relationship': 'role', 'entity2': 'intestinal inflammation'}]"
288.0,"Thompson  MR,  Kaminski  JJ,  Kurt-Jones  EA,  Fitzgerald KA. Pattern Recognition Receptors and the Innate Immune Response to Viral Infection. Viruses. 2011; 3:920–940.","[{'entity1': 'Pattern Recognition Receptors', 'relationship': 'Immune Response', 'entity2': 'Viral Infection'}]"
289.0,"Goswami  B,  Rajappa  M,  Sharma  M,  Sharma  A. Inflammation: its role and interplay in the development of cancer, with special focus on gynecological malignancies. Int J Gynecol Cancer. 2008; 18:591–599.","[{'entity1': 'Inflammation', 'relationship': 'role and interplay', 'entity2': 'development of cancer'}, {'entity1': 'Inflammation', 'relationship': 'focus', 'entity2': 'gynecological malignancies'}]"
290.0,"Levi  M,  van  der  Poll  T.  Two-way  interactions  between inflammation and coagulation. Trends  Cardiovascular Med. 2005; 15:254–259.","[{'entity1': 'inflammation', 'relationship': 'interactions', 'entity2': 'coagulation'}]"
291.0,"Sepsis is a life-threatening organ dysfunction caused by infection, which results from dysregulated host response.","[{'entity1': 'Sepsis', 'relationship': 'caused by', 'entity2': 'infection'}, {'entity1': 'Sepsis', 'relationship': 'results from', 'entity2': 'dysregulated host response'}]"
292.0,"A study reported in Lancet showed that sepsis remains a major cause of health loss worldwide, with 48.9 million cases each year and approximately 11 million deaths, which accounts around one-fifth of the total global deaths.","[{'entity1': 'Sepsis', 'relationship': 'remains', 'entity2': 'a major cause of health loss worldwide'}, {'entity1': 'Sepsis', 'relationship': 'around', 'entity2': 'one-fifth of the total global deaths'}]"
293.0,"According to Nature Reviews Disease Primers, more than half of sepsis patients are complicated with coagulation system imbalance.","[{'entity1': 'more than half of sepsis patients', 'relationship': 'complicated with', 'entity2': 'coagulation system imbalance'}]"
294.0,"Moreover, in patients who have sepsis with disseminated intravascular coagulation (DIC) the mortality rate is almost twice that of sepsis patients without DIC.","[{'entity1': 'patients who have sepsis with disseminated intravascular coagulation', 'relationship': 'mortality rate', 'entity2': 'almost twice that of sepsis patients without DIC'}]"
295.0,"Therefore, reducing inflammation and coagulation disorders could be the key to reducing sepsis mortality.","[{'entity1': 'reducing inflammation and coagulation disorders', 'relationship': 'could be', 'entity2': 'the key to reducing sepsis mortality'}]"
296.0,"Macrophages are involved in various pathophysiological processes in sepsis, including inflammation, coagulation, immunity and metabolism, and play a crucial role in sepsis-induced acute lung injury.","[{'entity1': 'Macrophages', 'relationship': 'involved in', 'entity2': 'various pathophysiological processes in sepsis'}, {'entity1': 'pathophysiological processes', 'relationship': 'including', 'entity2': 'inflammation'}, {'entity1': 'pathophysiological processes', 'relationship': 'including', 'entity2': 'coagulation'}, {'entity1': 'pathophysiological processes', 'relationship': 'including', 'entity2': 'immunity'}, {'entity1': 'pathophysiological processes', 'relationship': 'including', 'entity2': 'metabolism'}, {'entity1': 'Macrophages', 'relationship': 'play', 'entity2': 'a crucial role in sepsis-induced acute lung injury'}]"
297.0,"In the early stages of sepsis, macrophages engulf pathogens and activate the innate immune system.","[{'entity1': 'macrophages', 'relationship': 'engulf', 'entity2': 'pathogens'}, {'entity1': 'macrophages', 'relationship': 'activate', 'entity2': 'the innate immune system'}]"
298.0,"Macrophages express pattern recognition receptors (PRRs), which can detect pathogen-associated molecular patterns (PAMPs) or damage-associated molecular patterns (DAMPs), initiating a series of immune cell activations and upregulating the expression of inflammation-related genes, that produce a series of inflammatory cytokines.","[{'entity1': 'Pattern recognition receptors', 'relationship': 'can detect', 'entity2': 'pathogen-associated molecular patterns'}, {'entity1': 'Pattern recognition receptors', 'relationship': 'can detect', 'entity2': 'damage-associated molecular patterns'}, {'entity1': 'Pattern recognition receptors', 'relationship': 'initiating', 'entity2': 'a series of immune cell activations'}, {'entity1': 'Pattern recognition receptors', 'relationship': 'upregulating', 'entity2': 'the expression of inflammation-related genes'}, {'entity1': 'inflammation-related genes', 'relationship': 'produce', 'entity2': 'a series of inflammatory cytokines'}]"
299.0,"However, there is also a defense strategy, called disease tolerance, which refers to limiting the negative impact of infection on the host without affecting the pathogen load.","[{'entity1': 'a defense strategy', 'relationship': 'called', 'entity2': 'disease tolerance'}, {'entity1': 'disease tolerance', 'relationship': 'refers to', 'entity2': 'limiting the negative impact of infection on the host without affecting the pathogen load'}]"
300.0,"The expression of high levels of PRRs and other receptors, including cytokines by tissue-resident macrophages contributes to the establishment of disease tolerance.","[{'entity1': 'The expression of high levels of PRRs and other receptors, including cytokines by tissue-resident macrophages', 'relationship': 'contributes to', 'entity2': 'the establishment of disease tolerance'}]"
301.0,"In addition, signal transduction pathways that are activated in response to PAMPs or DAMPs also contribute to tissue damage control and establishment of disease tolerance, both of which limit the negative effects of infection.","[{'entity1': 'signal transduction pathways', 'relationship': 'activated in response to', 'entity2': 'PAMPs or DAMPs'}, {'entity1': 'signal transduction pathways', 'relationship': 'contribute to', 'entity2': 'tissue damage control'}, {'entity1': 'signal transduction pathways', 'relationship': 'contribute to', 'entity2': 'establishment of disease tolerance'}, {'entity1': 'tissue damage control', 'relationship': 'limit', 'entity2': 'the negative effects of infection'}, {'entity1': 'establishment of disease tolerance', 'relationship': 'limit', 'entity2': 'the negative effects of infection'}]"
302.0,"Lipopolysaccharide (LPS), an important cell wall constituent of Gram-negative bacteria, is a potent inducer of inflammatory responses.","[{'entity1': 'Lipopolysaccharide', 'relationship': 'is', 'entity2': 'a potent inducer of inflammatory responses'}]"
303.0,"After exposure to LPS, macrophages produce large amounts of inflammatory cytokines, interleukin (IL)-1, IL-6, and tumor necrosis factor (TNF).","[{'entity1': 'macrophages', 'relationship': 'produce', 'entity2': 'inflammatory cytokines'}, {'entity1': 'macrophages', 'relationship': 'produce', 'entity2': 'interleukin 1'}, {'entity1': 'macrophages', 'relationship': 'produce', 'entity2': 'interleukin 6'}, {'entity1': 'macrophages', 'relationship': 'produce', 'entity2': 'tumor necrosis factor'}]"
304.0,"Recent studies have shown that monocytes and macrophages, especially those from myeloid origin, are main cell types that express tissue factor (TF), which causes pathological coagulation in sepsis.","[{'entity1': 'monocytes and macrophages, especially those from myeloid origin', 'relationship': 'express', 'entity2': 'tissue factor'}, {'entity1': 'tissue factor', 'relationship': 'causes', 'entity2': 'pathological coagulation in sepsis'}]"
305.0,"In severe sepsis, macrophages secrete inflammatory mediators and the coagulation system is activated, which promotes fibrin production and thrombosis.","[{'entity1': 'macrophages', 'relationship': 'secrete', 'entity2': 'inflammatory mediators'}, {'entity1': 'the coagulation system', 'relationship': 'activated', 'entity2': ''}, {'entity1': 'coagulation system', 'relationship': 'promotes', 'entity2': 'fibrin production'}, {'entity1': 'coagulation system', 'relationship': 'promotes', 'entity2': 'thrombosis'}]"
306.0,"In addition, coagulation abnormalities contribute to the lethality of sepsis and septic acute lung injury (ALI).","[{'entity1': 'coagulation abnormalities', 'relationship': 'contribute to', 'entity2': 'the lethality of sepsis'}, {'entity1': 'coagulation abnormalities', 'relationship': 'contribute to', 'entity2': 'septic acute lung injury'}]"
307.0,"Many in vivo studies use cecal ligation and puncture (CLP) model in mice, which can simulate the pathological condition of abdominal infection through cecal contamination and, to some extent, mimic the response of clinical patients with sepsis.","[{'entity1': 'cecal ligation and puncture model in mice', 'relationship': 'can simulate', 'entity2': 'the pathological condition of abdominal infection'}, {'entity1': 'cecal ligation and puncture model in mice', 'relationship': 'mimic', 'entity2': 'the response of clinical patients with sepsis'}]"
308.0,"Eupatilin (Eup) is a lipophilic flavonoid isolated from Artemisia argyi, which has the effect of warming the meridian to stop bleeding, dispersing cold and relieving pain.","[{'entity1': 'Eupatilin', 'relationship': 'isolated from', 'entity2': 'Artemisia argyi'}, {'entity1': 'Eupatilin', 'relationship': 'has effect', 'entity2': 'warming the meridian to stop bleeding, dispersing cold and relieving pain'}]"
309.0,"In recent years, Eupatilin has been found to have biological activities against  inflammation,  oxidation,  and  tumors.","[{'entity1': 'Eupatilin', 'relationship': 'have activities against', 'entity2': 'inflammation'}, {'entity1': 'Eupatilin', 'relationship': 'have activities against', 'entity2': 'oxidation'}, {'entity1': 'Eupatilin', 'relationship': 'have activities against', 'entity2': 'tumors'}]"
310.0,"It has antioxidant and anti-apoptotic effects against  cisplatin-induced ototoxicity,  as  well  as  inhibiting  inflammatory  responses  and  aging  in  nucleus  pulposus  (NP)  cells.","[{'entity1': 'It', 'relationship': 'has effects against', 'entity2': 'cisplatin-induced ototoxicity'}, {'entity1': 'It', 'relationship': 'inhibiting', 'entity2': 'inflammatory responses'}, {'entity1': 'It', 'relationship': 'inhibiting', 'entity2': 'aging in nucleus pulposus cells'}]"
311.0,"In addition, a derivative of Eupatilin to treat dry eye disease is being developed and is undergoing Phase I study.","[{'entity1': 'a derivative of Eupatilin', 'relationship': 'to treat', 'entity2': 'dry eye disease'}, {'entity1': 'a derivative of Eupatilin', 'relationship': 'undergoing', 'entity2': 'Phase I study'}]"
312.0,"Eupatilin can also reduce  the  inflammatory  response  in  LPS-induced  rats,  decreasing  the  level  of  surfactant  protein  (SP)-A,  SP-D,  and inflammatory  factors.","[{'entity1': 'Eupatilin', 'relationship': 'reduce', 'entity2': 'the inflammatory response in LPS-induced rats'}, {'entity1': 'Eupatilin', 'relationship': 'decreasing', 'entity2': 'the level of surfactant protein A'}, {'entity1': 'Eupatilin', 'relationship': 'decreasing', 'entity2': 'the level of surfactant protein D'}, {'entity1': 'Eupatilin', 'relationship': 'decreasing', 'entity2': 'the level of inflammatory factors'}]"
313.0,"Moreover,  Eupatilin  can  reduce  the  number  of  inflammatory  cells  in  OVA-induced  asthmatic mice  and  inhibit  the  NF-κB  and  MAPK  pathways  in  both  mice  and  RAW264.7  cells.","[{'entity1': 'Eupatilin', 'relationship': 'reduce', 'entity2': 'the number of inflammatory cells in OVA-induced asthmatic mice'}, {'entity1': 'Eupatilin', 'relationship': 'inhibit', 'entity2': 'the NF-κB pathway in mice'}, {'entity1': 'Eupatilin', 'relationship': 'inhibit', 'entity2': 'the MAPK pathway in mice'}, {'entity1': 'Eupatilin', 'relationship': 'inhibit', 'entity2': 'the NF-κB pathway in RAW264.7 cells'}, {'entity1': 'Eupatilin', 'relationship': 'inhibit', 'entity2': 'the MAPK pathway in RAW264.7 cells'}]"
314.0,"Besides,  by inhibiting  STAT3, Eupatilin  attenuates  airway  remodeling  and  inhibits  gastric  cancer  cell  growth.","[{'entity1': 'Eupatilin', 'relationship': 'attenuates by inhibiting STAT3', 'entity2': 'airway remodeling'}, {'entity1': 'Eupatilin', 'relationship': 'inhibits by inhibiting STAT3', 'entity2': 'gastric cancer cell growth'}]"
315.0,A  recent  study  has  shown  that Eupatilin  is  associated  with  coagulation.,"[{'entity1': 'Eupatilin', 'relationship': 'associated with', 'entity2': 'coagulation'}]"
316.0,It can inhibit  arachidonic  acid  (AA)-induced  platelet  aggregation  and  throm-boxane  A2  (TXA2)  and  5-hydroxytryptophan  (5-HT)  generation.,"[{'entity1': 'It', 'relationship': 'inhibit', 'entity2': 'arachidonic acid-induced platelet aggregation'}, {'entity1': 'It', 'relationship': 'inhibit', 'entity2': 'thromboxane A2 generation'}, {'entity1': 'It', 'relationship': 'inhibit', 'entity2': '5-hydroxytryptophan generation'}]"
317.0,"Nevertheless,  the  underlying  mechanisms  and whether  it  can  be  used  to  protect  sepsis-induced  coagulation  disorders  is  unclear.","[{'entity1': 'underlying mechanisms', 'relationship': 'unclear', 'entity2': 'whether Eupatilin can protect sepsis-induced coagulation disorders'}]"
318.0,"Besides,  our  previous  study  has shown that in sepsis, phosphorylation of STAT3 at Tyr705 can affect the coagulation and inflammation systems, resulting in fatal damage.","[{'entity1': 'phosphorylation of STAT3 at Tyr705', 'relationship': 'affect', 'entity2': 'coagulation system in sepsis'}, {'entity1': 'phosphorylation of STAT3 at Tyr705', 'relationship': 'affect', 'entity2': 'inflammation system in sepsis'}, {'entity1': 'phosphorylation of STAT3 at Tyr705', 'relationship': 'result in', 'entity2': 'fatal damage in sepsis'}]"
319.0,"Thus,  we  hypothesized  that  Eupatilin  can  exert  anti-inflammatory  and  anti-coagulation  effects  in  LPS-induced  RAW264.7 macrophages and CLP mouse model by suppressing the JAK2/STAT3 signaling pathway.","[{'entity1': 'Eupatilin', 'relationship': 'exert', 'entity2': 'anti-inflammatory effects by suppressing JAK2/STAT3 signaling pathway'}, {'entity1': 'Eupatilin', 'relationship': 'exert', 'entity2': 'anti-coagulation effects by suppressing JAK2/STAT3 signaling pathway'}]"
320.0,"Insulin resistance (IR) is known to be characteristic of type 2 diabetes mellitus,  and is regarded as an important mechanism in disease pathogenesis. One of the key pathogenetic mechanisms  of  IR  progression  is  impaired  free  fatty  acid  (FFA)  metabolism.","[{'entity1': 'Insulin resistance', 'relationship': 'characteristic', 'entity2': 'Type 2 diabetes mellitus'}, {'entity1': 'Insulin resistance', 'relationship': 'mechanism', 'entity2': 'disease pathogenesis'}, {'entity1': 'Insulin resistance progression', 'relationship': 'mechanism', 'entity2': 'impaired free fatty acid metabolism'}]"
321.0,"Plasminogen-activator inhibitor 1 (PAI-1) and key inflammation markers, ie, interleukin 6 (IL-6) and C-reactive protein (CRP), also play a role.","[{'entity1': 'Plasminogen-activator inhibitor 1', 'relationship': 'role', 'entity2': 'Insulin resistance'}, {'entity1': 'Interleukin 6', 'relationship': 'role', 'entity2': 'Insulin resistance'}, {'entity1': 'C-reactive protein', 'relationship': 'role', 'entity2': 'Insulin resistance'}]"
322.0,"Among  proinflammatory  cytokines  contributing  to         IR  development,  the  role  of  interleukin  (IL)-6,  which  has         autocrine and paracrine properties and is involved in insulin         reception and free fatty acid (FFA) metabolism regulation,         has been extensively studied.","[{'entity1': 'proinflammatory cytokines', 'relationship': 'contributing', 'entity2': 'Insulin resistance development'}, {'entity1': 'Interleukin 6', 'relationship': 'involved', 'entity2': 'insulin reception'}, {'entity1': 'Interleukin 6', 'relationship': 'involved', 'entity2': 'free fatty acid metabolism regulation'}]"
323.0,"The  mice  were  randomly  assigned  into  three  groups  according  to  the  random  number  table  method:  sham  operation         (SHAM) group, CLP group, CLP + Eup group.","[{'entity1': 'mice', 'relationship': 'assigned', 'entity2': 'sham operation group'}, {'entity1': 'mice', 'relationship': 'assigned', 'entity2': 'CLP group'}, {'entity1': 'mice', 'relationship': 'assigned', 'entity2': 'CLP + Eup group'}]"
324.0,"Cecal Ligation and Puncture (CLP) and Animal Tests. After the mice were anesthetized, we opened the abdominal cavity and carefully exposed the cecum","[{'entity1': 'Cecal Ligation and Puncture', 'relationship': 'performed on', 'entity2': 'mice'}]"
325.0,"To assess the effect of Eupatilin on cell viability and cytotoxicity, we examined the effect of Eupatilin on RAW 264.7 macrophages  using  the  CCK8  assay.  As  shown  in  Figure  1B,  the  cell  viability  of  RAW  264.7  macrophages  was  little affected  within  24  hours  at  concentrations  less  than  10μM.","[{'entity1': 'Eupatilin', 'relationship': 'affect', 'entity2': 'cell viability'}, {'entity1': 'Eupatilin', 'relationship': 'examined on', 'entity2': 'RAW 264.7 macrophages'}]"
326.0,"LPS  induced  cell  proliferation  in  macrophages,  while  Eupatilin  could  inhibit  the  LPS-induced  cell  proliferation.","[{'entity1': 'LPS', 'relationship': 'induce', 'entity2': 'cell proliferation'}, {'entity1': 'Eupatilin', 'relationship': 'inhibit', 'entity2': 'LPS-induced cell proliferation'}]"
327.0,"After the stimulation with LPS, the mRNA expression raised sharply in TNF-α (25.15±4.10), IL-1β (3753.55±114.04) and IL-6 (36976.14±1121.44).","[{'entity1': 'LPS stimulation', 'relationship': 'raise', 'entity2': 'TNF-α mRNA expression'}, {'entity1': 'LPS stimulation', 'relationship': 'raise', 'entity2': 'IL-1β mRNA expression'}, {'entity1': 'LPS stimulation', 'relationship': 'raise', 'entity2': 'IL-6 mRNA expression'}]"
328.0,"However, pretreatment with Eupatilin apparently attenuated the LPS-induced increase in inflammatory cytokine expression.","[{'entity1': 'Eupatilin pretreatment', 'relationship': 'attenuate', 'entity2': 'LPS-induced inflammatory cytokine expression'}]"
329.0,Eupatilin apparently inhibited LPS-induced mRNA expression of TF (84.66±4.86 in LPS group vs 48.49±3.39 in LPS+Eup group).,"[{'entity1': 'Eupatilin', 'relationship': 'inhibit', 'entity2': 'LPS-induced TF mRNA expression'}]"
330.0,"In the supernatants from the LPS group, the concentrations of TNF-α, IL-1β and IL-6 were higher than the control group, whereas this increase was significantly reduced in the LPS + Eup group.","[{'entity1': 'LPS', 'relationship': 'increase', 'entity2': 'TNF-α concentration'}, {'entity1': 'LPS', 'relationship': 'increase', 'entity2': 'IL-1β concentration'}, {'entity1': 'LPS', 'relationship': 'increase', 'entity2': 'IL-6 concentration'}, {'entity1': 'Eupatilin', 'relationship': 'reduce', 'entity2': 'LPS-induced TNF-α, IL-1β and IL-6 concentration'}]"
331.0,"Moreover, the Western blot results illustrated that pretreatment with Eupatilin significantly reduced LPS-induced inflammatory cytokine expression in RAW264.7 cells.","[{'entity1': 'Eupatilin pretreatment', 'relationship': 'reduce', 'entity2': 'LPS-induced inflammatory cytokine expression'}]"
332.0,Western blot analysis also revealed a decrease in TF expression in the LPS + Eup group.,"[{'entity1': 'Eupatilin', 'relationship': 'decrease', 'entity2': 'TF expression'}]"
333.0,"Compared with the CON group, the LPS group had significantly higher expression levels of both p-JAK2 and p-STAT3.","[{'entity1': 'LPS', 'relationship': 'increase', 'entity2': 'p-JAK2 expression'}, {'entity1': 'LPS', 'relationship': 'increase', 'entity2': 'p-STAT3 expression'}]"
334.0,"However, after pretreatment with Eupatilin, the expression levels of both p-JAK2 and p-STAT3 were diminished.","[{'entity1': 'Eupatilin pretreatment', 'relationship': 'diminish', 'entity2': 'p-JAK2 expression'}, {'entity1': 'Eupatilin pretreatment', 'relationship': 'diminish', 'entity2': 'p-STAT3 expression'}]"
335.0,"AG490 is an inhibitor of JAK2, which reduced the phosphorylation of JAK2 and STAT3.","[{'entity1': 'AG490', 'relationship': 'inhibit', 'entity2': 'JAK2'}, {'entity1': 'AG490', 'relationship': 'reduce', 'entity2': 'JAK2 phosphorylation'}, {'entity1': 'AG490', 'relationship': 'reduce', 'entity2': 'STAT3 phosphorylation'}]"
336.0,"Western blot analysis revealed that AG490 inhibited the phosphorylation of both STAT3 and JAK2, while Eupatilin pretreatment strengthened this inhibition.","[{'entity1': 'AG490', 'relationship': 'inhibit', 'entity2': 'STAT3 phosphorylation'}, {'entity1': 'AG490', 'relationship': 'inhibit', 'entity2': 'JAK2 phosphorylation'}, {'entity1': 'Eupatilin pretreatment', 'relationship': 'strengthen', 'entity2': 'AG490 inhibition'}]"
337.0,"Moreover, comparing with CLP group, the use of AG490 could reduce the expression of TNF-α, IL-1β, IL-6 and TF, while the use of Eupatilin strengthened this inhibition.","[{'entity1': 'AG490', 'relationship': 'reduce', 'entity2': 'TNF-α expression'}, {'entity1': 'AG490', 'relationship': 'reduce', 'entity2': 'IL-1β expression'}, {'entity1': 'AG490', 'relationship': 'reduce', 'entity2': 'IL-6 expression'}, {'entity1': 'AG490', 'relationship': 'reduce', 'entity2': 'TF expression'}, {'entity1': 'Eupatilin', 'relationship': 'strengthen', 'entity2': 'AG490 inhibition'}]"
338.0,"In addition, cell immunofluorescence showed a reduction in the nuclear translocation of p-STAT3 after the pretreatment with Eupatilin in RAW264.7 cells.","[{'entity1': 'Eupatilin pretreatment', 'relationship': 'reduce', 'entity2': 'p-STAT3 nuclear translocation'}]"
339.0,"The results showed that compared with SHAM group, the survival rate in CLP group dropped sharply.","[{'entity1': 'CLP', 'relationship': 'drop', 'entity2': 'survival rate'}]"
340.0,"Moreover, compared to mice in CLP group, the survival rate in CLP+Eup group increased.","[{'entity1': 'Eupatilin', 'relationship': 'increase', 'entity2': 'survival rate'}]"
341.0,"As anticipated, the level of inflammatory cytokines, such as TNF-α, IL-1β and IL-6, as well as coagulation factors, such as TF, TAT, PAI-1 and D-dimer, were lower in the plasma for mice in CLP+Eup group than those in the CLP group.","[{'entity1': 'Eupatilin', 'relationship': 'lower', 'entity2': 'TNF-α level'}, {'entity1': 'Eupatilin', 'relationship': 'lower', 'entity2': 'IL-1β level'}, {'entity1': 'Eupatilin', 'relationship': 'lower', 'entity2': 'IL-6 level'}, {'entity1': 'Eupatilin', 'relationship': 'lower', 'entity2': 'TF level'}, {'entity1': 'Eupatilin', 'relationship': 'lower', 'entity2': 'TAT level'}, {'entity1': 'Eupatilin', 'relationship': 'lower', 'entity2': 'PAI-1 level'}, {'entity1': 'Eupatilin', 'relationship': 'lower', 'entity2': 'D-dimer level'}]"
342.0,"Eupatilin Alleviated Pulmonary Inflammation and Lung Injury in Septic Mice We performed H&E staining to detect lung injury. H&E staining revealed that in the CLP models, the alveolar wall was thickened, hyaline membranes were formed, and neutrophils had accumulated in the interstitial space.","[{'entity1': 'Eupatilin', 'relationship': 'Alleviated', 'entity2': 'Pulmonary Inflammation'}, {'entity1': 'Eupatilin', 'relationship': 'Alleviated', 'entity2': 'Lung Injury'}, {'entity1': 'H&E staining', 'relationship': 'revealed', 'entity2': 'the alveolar wall was thickened'}, {'entity1': 'H&E staining', 'relationship': 'revealed', 'entity2': 'hyaline membranes were formed'}, {'entity1': 'H&E staining', 'relationship': 'revealed', 'entity2': 'neutrophils had accumulated in the interstitial space'}]"
343.0,"As anticipated, the CLP+Eup group exhibited slighter lung tissue injury (Figure 5A). Moreover, the expression of inflammatory cytokines in lung tissue among the three groups was analyzed.","[{'entity1': 'CLP+Eup group', 'relationship': 'exhibited', 'entity2': 'slighter lung tissue injury'}, {'entity1': 'the expression', 'relationship': 'analyzed', 'entity2': 'inflammatory cytokines in lung tissue'}]"
344.0,"As shown in Figure 5B-E, Eupatilin reduced the expression of TNF-α, IL-1β and IL-6 in lung tissue of mice. Macrophages initiate the primary inflammatory process, and F4/80 is a biomarker for them.","[{'entity1': 'Eupatilin', 'relationship': 'reduced', 'entity2': 'the expression of TNF-α in lung tissue of mice'}, {'entity1': 'Eupatilin', 'relationship': 'reduced', 'entity2': 'the expression of IL-1β in lung tissue of mice'}, {'entity1': 'Eupatilin', 'relationship': 'reduced', 'entity2': 'the expression of IL-6 in lung tissue of mice'}, {'entity1': 'Macrophages', 'relationship': 'initiate', 'entity2': 'the primary inflammatory process'}, {'entity1': 'F4/80', 'relationship': 'biomarker for', 'entity2': 'Macrophages'}]"
345.0,"Immunofluorescence staining demonstrated that the CLP group had stronger F4/80 fluorescent signals than the sham group, while Eupatilin pretreatment decreased these signals (Figure 5F).","[{'entity1': 'the CLP group', 'relationship': 'had', 'entity2': 'stronger F4/80 fluorescent signals'}, {'entity1': 'Eupatilin pretreatment', 'relationship': 'decreased', 'entity2': 'F4/80 fluorescent signals'}]"
346.0,"We used Western blot, immunohistochemistry and immunofluorescence staining to investigate whether Eupatilin reduces coagulation in lung tissue.","[{'entity1': 'We', 'relationship': 'investigate', 'entity2': 'whether Eupatilin reduces coagulation in lung tissue'}]"
347.0,"The exposure of TF is the way to promote coagulation. The results of Western blot and immunofluorescence showed that Eupatilin could lower the exposure of TF in the lung tissue of septic mice (Figure 6A, B and E).","[{'entity1': 'The exposure of TF', 'relationship': 'promote', 'entity2': 'coagulation'}, {'entity1': 'Eupatilin', 'relationship': 'lower', 'entity2': 'the exposure of TF in the lung tissue of septic mice'}]"
348.0,"Furthermore, Western blot showed decreased expression levels of thrombin, and PAI-1 in the lung tissue of septic mice after Eupatilin pretreatment (Figure 6A, C and D).","[{'entity1': 'Western blot', 'relationship': 'showed', 'entity2': 'decreased expression levels of thrombin in the lung tissue of septic mice after Eupatilin pretreatment'}, {'entity1': 'Western blot', 'relationship': 'showed', 'entity2': 'decreased expression levels of PAI-1 in the lung tissue of septic mice after Eupatilin pretreatment'}]"
349.0,"Additionally, according to immunohistochemistry results, fibrin deposition (brown stain) was observed in the CLP group.","[{'entity1': 'fibrin deposition', 'relationship': 'observed', 'entity2': 'in the CLP group'}]"
350.0,"However, the amount of fibrin deposition was less in the lung tissue from mice pretreated with Eupatilin (Figure 6F).","[{'entity1': 'the amount of fibrin deposition', 'relationship': 'less', 'entity2': 'in the lung tissue from mice pretreated with Eupatilin'}]"
351.0,"The Western blot analysis revealed that the expression of p-JAK2 and p-STAT3 was considerably higher in the CLP group than in the SHAM group, and decreased with Eupatilin pretreatment (Figure 7A-C, 1.79±0.24 and 2.21±0.20 in CLP group vs 1.24±0.16 and 1.11±0.15 in CLP+Eup group, respectively).","[{'entity1': 'the expression of p-JAK2', 'relationship': 'higher', 'entity2': 'in the CLP group'}, {'entity1': 'the expression of p-STAT3', 'relationship': 'higher', 'entity2': 'in the CLP group'}, {'entity1': 'the expression of p-JAK2', 'relationship': 'decreased', 'entity2': 'with Eupatilin pretreatment'}, {'entity1': 'the expression of p-STAT3', 'relationship': 'decreased', 'entity2': 'with Eupatilin pretreatment'}]"
352.0,One of the pathological features of sepsis is the hyperactivation of inflammation and coagulation systems; both can promote and impact upon each other.,"[{'entity1': 'hyperactivation of inflammation', 'relationship': 'pathological features', 'entity2': 'sepsis'}, {'entity1': 'hyperactivation of coagulation systems', 'relationship': 'pathological features', 'entity2': 'sepsis'}, {'entity1': 'inflammation', 'relationship': 'promote', 'entity2': 'coagulation systems'}, {'entity1': 'coagulation systems', 'relationship': 'promote', 'entity2': 'inflammation'}, {'entity1': 'inflammation', 'relationship': 'impact upon', 'entity2': 'coagulation systems'}, {'entity1': 'coagulation systems', 'relationship': 'impact upon', 'entity2': 'inflammation'}]"
353.0,Pro-inflammatory cytokines have the ability to stimulate coagulation in vitro. TF is the main factor in the coagulation process  and  is  also  a  link  between  coagulation  and  inflammation.,"[{'entity1': 'Pro-inflammatory cytokines', 'relationship': 'stimulate', 'entity2': 'coagulation'}, {'entity1': 'TF', 'relationship': 'main factor', 'entity2': 'coagulation process'}, {'entity1': 'TF', 'relationship': 'link', 'entity2': 'coagulation and inflammation'}]"
354.0,"Under  normal  physiological  conditions,  mono-cytes,  endothelial  cells  and  epithelial  cells  have  low  TF  expression.40  However,  during  sepsis,  these  cells  express  and release TF into circulation after being stimulated by inflammatory factors and LPS.","[{'entity1': 'mono-cytes, endothelial cells and epithelial cells', 'relationship': 'express', 'entity2': 'TF'}, {'entity1': 'mono-cytes, endothelial cells and epithelial cells', 'relationship': 'release', 'entity2': 'TF'}, {'entity1': 'inflammatory factors and LPS', 'relationship': 'stimulate', 'entity2': 'mono-cytes, endothelial cells and epithelial cells'}]"
355.0,Previous  research has  also  demonstrated  that  blocking  IL-6  inhibits  endotoxin-induced coagulation  activation.,"[{'entity1': 'blocking IL-6', 'relationship': 'inhibits', 'entity2': 'endotoxin-induced coagulation activation'}]"
356.0,Numerous  investigations  have  shown  that  the  stimulation  of  human  monocytes  with  LPS increases  TF  expression.,"[{'entity1': 'stimulation of human monocytes with LPS', 'relationship': 'increases', 'entity2': 'TF expression'}]"
357.0,"Moreover,  healthy  humans  who  received  a  low-dose  endotoxemia  injection  had  a  125- fold increase in the amount of TF mRNA in their circulating monocytes.","[{'entity1': 'low-dose endotoxemia injection', 'relationship': 'increases', 'entity2': 'TF mRNA in circulating monocytes'}]"
358.0,"In a model of endotoxemia, early research showed  that  inhibiting  the  expression  of  TF  attenuated  septic  shock,  and  animals  with  low  TF  levels  had  decreased coagulation,  inflammation,  and  mortality.","[{'entity1': 'inhibiting TF expression', 'relationship': 'attenuates', 'entity2': 'septic shock'}, {'entity1': 'low TF levels', 'relationship': 'decreases', 'entity2': 'coagulation, inflammation and mortality'}]"
359.0,"In our study, we discovered that TF expression was noticeably higher in sepsis models, while the pretreatment with Eupatilin reversed these changes.","[{'entity1': 'Eupatilin pretreatment', 'relationship': 'reverses', 'entity2': 'increased TF expression'}]"
